flyby_url,flyby_index,flyby_cassini_mission,flyby_date,flyby_altitude,flyby_cube_quantity,flyby_sequence,flyby_revolution
https://vims.univ-nantes.fr/flyby/189TI,189TI,Solstice,2013-05-07,908114 km,14,S78,189
https://vims.univ-nantes.fr/flyby/190TI,T91 | 190TI,Solstice,2013-05-23,970 km,206,S78,190
https://vims.univ-nantes.fr/flyby/191TI,191TI,Solstice,2013-05-31,568226 km,36,S78,191
https://vims.univ-nantes.fr/flyby/192TI,192TI,Solstice,2013-06-10,n/a,8,S79,192
https://vims.univ-nantes.fr/flyby/193TI,193TI,Solstice,2013-06-19,n/a,20,S79,193
https://vims.univ-nantes.fr/flyby/194TI,T92 | 194TI,Solstice,2013-07-10,964 km,126,S79,194
https://vims.univ-nantes.fr/flyby/195TI,T93 | 195TI,Solstice,2013-07-26,1400 km,787,S79,195
https://vims.univ-nantes.fr/flyby/196TI,196TI,Solstice,2013-08-15,n/a,15,S80,196
https://vims.univ-nantes.fr/flyby/197TI,T94 | 197TI,Solstice,2013-09-12,1400 km,285,S80,197
https://vims.univ-nantes.fr/flyby/198TI,T95 | 198TI,Solstice,2013-10-14,961 km,126,S80,198
https://vims.univ-nantes.fr/flyby/199TI,T96 | 199TI,Solstice,2013-12-01,1400 km,303,S81,199
https://vims.univ-nantes.fr/flyby/200TI,T97 | 200TI,Solstice,2014-01-01,1400 km,793,S82,200
https://vims.univ-nantes.fr/flyby/201TI,T98 | 201TI,Solstice,2014-02-02,1236 km,267,S82,201
https://vims.univ-nantes.fr/flyby/202TI,T99 | 202TI,Solstice,2014-03-06,1500 km,113,S82,202
https://vims.univ-nantes.fr/flyby/203TI,T100 | 203TI,Solstice,2014-04-07,963 km,223,S83,203
https://vims.univ-nantes.fr/flyby/204TI,T101 | 204TI,Solstice,2014-05-17,2994 km,143,S83,204
https://vims.univ-nantes.fr/flyby/205TI,T102 | 205TI,Solstice,2014-06-18,3659 km,216,S84,205
https://vims.univ-nantes.fr/flyby/206TI,T103 | 206TI,Solstice,2014-07-20,5103 km,486,S84,206
https://vims.univ-nantes.fr/flyby/207TI,T104 | 207TI,Solstice,2014-08-21,964 km,81,S85,207
https://vims.univ-nantes.fr/flyby/208TI,T105 | 208TI,Solstice,2014-09-22,1400 km,455,S85,208
https://vims.univ-nantes.fr/flyby/209TI,T106 | 209TI,Solstice,2014-10-24,1013 km,248,S86,209
https://vims.univ-nantes.fr/flyby/210TI,T107 | 210TI,Solstice,2014-12-10,980 km,94,S86,210
https://vims.univ-nantes.fr/flyby/211TI,T108 | 211TI,Solstice,2015-01-11,970 km,70,S87,211
https://vims.univ-nantes.fr/flyby/212TI,T109 | 212TI,Solstice,2015-02-12,1200 km,151,S87,212
https://vims.univ-nantes.fr/flyby/213TI,T110 | 213TI,Solstice,2015-03-16,2275 km,370,S88,213
https://vims.univ-nantes.fr/flyby/214TI,214TI,Solstice,2015-04-11,899021 km,51,S88,214
https://vims.univ-nantes.fr/flyby/215TI,T111 | 215TI,Solstice,2015-05-07,2722 km,588,S89,215
https://vims.univ-nantes.fr/flyby/216TI,216TI,Solstice,2015-05-28,942020 km,22,S89,216
https://vims.univ-nantes.fr/flyby/217TI,217TI,Solstice,2015-06-16,957887 km,19,S89,217
https://vims.univ-nantes.fr/flyby/218TI,T112 | 218TI,Solstice,2015-07-07,10953 km,324,S89,218
https://vims.univ-nantes.fr/flyby/219TI,219TI,Solstice,2015-07-25,729261 km,16,S90,219
https://vims.univ-nantes.fr/flyby/220TI,220TI,Solstice,2015-08-18,960427 km,61,S90,220
https://vims.univ-nantes.fr/flyby/221TI,221TI,Solstice,2015-09-10,706922 km,15,S90,221
https://vims.univ-nantes.fr/flyby/222TI,T113 | 222TI,Solstice,2015-09-28,1036 km,253,S91,222
https://vims.univ-nantes.fr/flyby/223TI,223TI,Solstice,2015-10-13,826227 km,18,S91,223
https://vims.univ-nantes.fr/flyby/224TI,224TI,Solstice,2015-10-29,800186 km,27,S91,224
https://vims.univ-nantes.fr/flyby/225TI,T114 | 225TI,Solstice,2015-11-13,11920 km,127,S91,225
https://vims.univ-nantes.fr/flyby/226TI,226TI,Solstice,2015-11-30,753128 km,8,S92,226
https://vims.univ-nantes.fr/flyby/227TI,227TI,Solstice,2015-12-03,n/a,18,S92,227
https://vims.univ-nantes.fr/flyby/228TI,228TI,Solstice,2015-12-17,148654 km,22,S92,228
